feature,coefficient,abs_coefficient
NeckDissection,0.5359593665661175,0.5359593665661175
AlcoholHistory,0.35058857220934786,0.35058857220934786
Tracheostomy,-0.2915520921189845,0.2915520921189845
OperationDurationMin,0.27598503009139175,0.27598503009139175
PreopConcurrentCRT,0.26577203313482756,0.26577203313482756
Pathogen,0.20536401853903463,0.20536401853903463
IntraopTransfusion,0.1767636611398844,0.1767636611398844
AnastomoticFistula,0.16593235510749313,0.16593235510749313
UnplannedReoperation,-0.165195932330081,0.165195932330081
MultiDrugResistance,0.16093633170365199,0.16093633170365199
PreopHGB,-0.13049039924216216,0.13049039924216216
LesionSite,0.12321755720968143,0.12321755720968143
PreopChemotherapy,0.1159743379625074,0.1159743379625074
SmokingHistory,-0.11553612570801088,0.11553612570801088
Endoscopy,0.09377724962344408,0.09377724962344408
PeripheralVascularDisease,-0.0879987284477703,0.0879987284477703
Hyperlipidemia,-0.05338130452722921,0.05338130452722921
PreopRadiotherapy,-0.03679221834206513,0.03679221834206513
IncisionInfection,-0.02694729188253521,0.02694729188253521
DaysToFistulaConfirmation,-0.024137365904622975,0.024137365904622975
PreopALB,-0.011020827316555928,0.011020827316555928
Diabetes,0.00539712198790676,0.00539712198790676
ASA,0.0,0.0
Age,0.0,0.0
BMI,0.0,0.0
CoronaryHeartDisease,0.0,0.0
Differentiation,0.0,0.0
FatLiquefaction,0.0,0.0
FlapType,0.0,0.0
Hypertension,0.0,0.0
ImmuneDisease,0.0,0.0
LengthOfStay,0.0,0.0
MultiplePrimary,0.0,0.0
PostopPathology,0.0,0.0
PreopAntibiotic,0.0,0.0
PreopPALB,0.0,0.0
PriorHeadNeckHistory,0.0,0.0
Sex,0.0,0.0
SteroidUse,0.0,0.0
