feature,coefficient,odds_ratio,or_95ci_lower,or_95ci_upper,p_value,is_independent_predictor
PreopConcurrentCRT,1.3782346435476924,3.9678906994736582,1.854007776854745,8.491958232062506,0.0003849455055129587,True
NeckDissection,1.5205005372373153,4.574514336962287,1.5061123128237714,13.894170601287726,0.007308351375568364,True
Pathogen,0.27479661176398684,1.3162629352444708,1.0746886350128388,1.6121396079318289,0.007902050637911119,True
MultiDrugResistance,2.2465828417196305,9.455370072247272,1.4322504094406785,62.4220615430394,0.019646289068142628,True
AnastomoticFistula,1.8175318911351341,6.156644414002215,1.259780304998309,30.088000495066915,0.024752264137977632,True
AlcoholHistory,0.9330813321805853,2.542330886762213,1.0251973763252882,6.3045872795272695,0.044044375401062104,True
OperationDurationMin,0.3152289372672327,1.3705730502909899,0.9883424415237889,1.9006271584247598,0.05880196510318039,False
IntraopTransfusion,1.2493265647456469,3.4879932287483832,0.9071109304577549,13.411917280784172,0.0690503353589358,False
Tracheostomy,-1.6006114263004008,0.20177311088461508,0.034527613185526496,1.1791254743644213,0.07556334222798955,False
PreopHGB,-0.2423339871800767,0.784794022633515,0.5601256272842811,1.099577716069586,0.15904019403804237,False
Endoscopy,2.505929668953895,12.254946715054995,0.3696811928815959,406.2519865243434,0.16065370291096281,False
LesionSite,0.020744321550536547,1.0209609805433566,0.98926614475034,1.053671278779192,0.1973103388373657,False
PreopChemotherapy,0.6420943077160173,1.9004568558496764,0.6797328622908615,5.3134642464888735,0.22094251695107447,False
PreopRadiotherapy,-0.8056581529155774,0.4467937711472112,0.08260524750384239,2.416610081903827,0.34955674803575554,False
IncisionInfection,-0.7908370170311572,0.45346507839612193,0.03618045114681318,5.683471897306985,0.539849327503953,False
Diabetes,0.2937275940163842,1.3414184434819236,0.46056665555192355,3.9069338147311985,0.5902155118373372,False
PreopALB,-0.07104943089774705,0.9314158502680017,0.6556894749288954,1.3230889305101965,0.691577619672655,False
PeripheralVascularDisease,-18.905315323214005,6.159222264012773e-09,0.0,inf,0.998884541838867,False
Hyperlipidemia,-24.640098657270425,1.9904034674815562e-11,0.0,inf,0.9999076992144886,False
UnplannedReoperation,-30.95698915630084,3.593771275250846e-14,0.0,inf,0.9999899989764006,False
