feature,coefficient,abs_coefficient
AlcoholHistory,0.26217488336957484,0.26217488336957484
PreopConcurrentCRT,0.25776327637435054,0.25776327637435054
PreopHGB,-0.2475862952466047,0.2475862952466047
BMI,-0.135237876842205,0.135237876842205
Age,0.13343757445656051,0.13343757445656051
ASA,0.10920819773251425,0.10920819773251425
Diabetes,0.10332297814512978,0.10332297814512978
CoronaryHeartDisease,-0.06585244600503172,0.06585244600503172
PreopChemotherapy,0.04167786404120121,0.04167786404120121
PreopALB,-0.002886003062471695,0.002886003062471695
LengthOfStay,0.0,0.0
PeripheralVascularDisease,0.0,0.0
PreopPALB,0.0,0.0
PreopRadiotherapy,0.0,0.0
PriorHeadNeckHistory,0.0,0.0
Sex,0.0,0.0
SmokingHistory,0.0,0.0
