feature,coefficient,abs_coefficient
PreopHGB,-0.39838492065824327,0.39838492065824327
AlcoholHistory,0.2775124791615335,0.2775124791615335
PreopConcurrentCRT,0.22298540533447403,0.22298540533447403
Diabetes,0.21916841564177844,0.21916841564177844
PreopChemotherapy,0.16390210966598281,0.16390210966598281
SmokingHistory,-0.13061843221382607,0.13061843221382607
PreopALB,-0.08990833782162894,0.08990833782162894
CoronaryHeartDisease,-0.08575602737599468,0.08575602737599468
PeripheralVascularDisease,0.07483517804483637,0.07483517804483637
BMI,-0.03438863895136344,0.03438863895136344
ASA,0.01260555826352337,0.01260555826352337
PreopRadiotherapy,0.006662981811965351,0.006662981811965351
Age,0.0,0.0
LengthOfStay,0.0,0.0
PreopPALB,0.0,0.0
PriorHeadNeckHistory,0.0,0.0
Sex,0.0,0.0
