feature,coefficient,odds_ratio,or_95ci_lower,or_95ci_upper,p_value,is_independent_predictor
PreopHGB,-0.014127173633715214,0.9859721466287658,0.9789224684499582,0.9930725928346913,5.699490601329245e-05,True
PreopConcurrentCRT,1.169918200906685,3.221729093231031,1.358748204301934,7.639044759955212,0.003954653809112072,True
Diabetes,0.9490932095921295,2.583366025352231,1.0725797128744132,6.222176254908902,0.01716425868729578,True
AlcoholHistory,0.5611641267530544,1.752711691697874,0.8062656380732445,3.8101565156065225,0.07832578679977281,False
PreopChemotherapy,0.6358718963575878,1.8886681466592576,0.7004437846156014,5.092581940980313,0.10447700744307747,False
PeripheralVascularDisease,1.1424412593059345,3.13441094251603,0.3698848021912361,26.561058736024503,0.1473664637094766,False
CoronaryHeartDisease,-1.0651565367496119,0.34467389641267715,0.04210802413237568,2.8213172504799346,0.16035213188087255,False
PreopALB,-0.013400910260929783,0.9866884821780985,0.9595856815275415,1.0145567817489127,0.1728390779647923,False
BMI,-0.03905391318394849,0.9616988595011742,0.8576048397003654,1.078427561916504,0.25201229146078086,False
ASA,0.10034889495269081,1.1055565739035986,0.721542391873016,1.6939480644077909,0.3224282999035174,False
PreopRadiotherapy,0.20717461296389164,1.2301973614351298,0.35832618848761594,4.223485742053875,0.3710049790513246,False
