feature,coefficient,odds_ratio,or_95ci_lower,or_95ci_upper,p_value,is_independent_predictor
PreopConcurrentCRT,1.1597134913508833,3.1890194635563245,1.244440417740012,8.172223429877176,0.007858079472602527,True
OperationDurationMin,0.004075713188042352,1.0040840302024543,1.0006301136212417,1.007549868811185,0.010217633897001779,True
Tracheostomy,-1.8802312075121772,0.1525548298563327,0.027085012052049235,0.8592566275315283,0.016505074006934246,True
NeckDissection,0.8518350484284752,2.343944158882096,0.9930232998617117,5.532674027611035,0.025948536868344012,True
AlcoholHistory,0.6785893251015673,1.9710951955497777,0.8818975821992072,4.405518677385155,0.0490953117590717,True
IntraopTransfusion,1.0878839928986326,2.967987141445358,0.6877306660013623,12.808717288996878,0.07239533289342792,False
PreopHGB,-0.005333948558250382,0.9946802516863507,0.9874073857152154,1.0020066868126285,0.07714150694952429,False
Diabetes,0.6540152947420467,1.9232477524627831,0.7674489826464209,4.819710496713625,0.0814649418900053,False
PreopChemotherapy,0.34797985990279395,1.416203726972074,0.5353810538645623,3.7461785055938255,0.24161116896748075,False
Age,0.012144744336123761,1.0122187912000746,0.9741298209467834,1.0517970595158626,0.26743250002793856,False
PreopALB,-0.008293750467040149,0.991740547795456,0.9613147658331733,1.0231293111254638,0.30094551762985344,False
BMI,-0.022184480859975274,0.9780597850966786,0.8681445299361764,1.101891344398251,0.3576553031581056,False
PeripheralVascularDisease,0.44856525606886477,1.5660636725058024,0.12972311321579436,18.906078998139176,0.36206263932095106,False
