,AUC,PR_AUC,Threshold,Sensitivity,Specificity,Accuracy,F1,Youden
GLM_BEST,0.8695745595186937,0.3554251082926331,0.873030303030303,0.38461538461538464,0.9874301675977654,0.9766803840877915,0.37037037037037035,0.37204555221315005
GLM_RECALL,0.8695745595186937,0.3554251082926331,0.3,1.0,0.5,0.5089163237311386,0.06770833333333333,0.5
RF_BEST,0.8247743876235496,0.25870644417826455,0.7381818181818183,0.38461538461538464,0.9832402234636871,0.9725651577503429,0.3333333333333333,0.3678556080790718
RF_RECALL,0.8247743876235496,0.25870644417826455,0.3,0.8461538461538461,0.6201117318435754,0.6241426611796982,0.07432432432432433,0.4662655779974214
SVM_BEST,0.8783841856467555,0.34343415682136647,0.8550505050505052,0.23076923076923078,1.0,0.9862825788751715,0.375,0.23076923076923084
SVM_RECALL,0.8783841856467555,0.34343415682136647,0.3,0.9230769230769231,0.6159217877094972,0.6213991769547325,0.08,0.5389987107864203
NNET_BEST,0.8603351955307262,0.33033851583106494,0.7651515151515152,0.5384615384615384,0.9678770949720671,0.9602194787379973,0.32558139534883723,0.5063386334336055
NNET_RECALL,0.8603351955307262,0.33033851583106494,0.3,0.9230769230769231,0.5,0.5075445816186557,0.06266318537859007,0.42307692307692313
XGB_BEST,0.7737430167597765,0.2966119787336256,0.7202020202020203,0.38461538461538464,0.9930167597765364,0.9821673525377229,0.43478260869565216,0.37763214439192105
XGB_RECALL,0.7737430167597765,0.2966119787336256,0.3,0.8461538461538461,0.4134078212290503,0.42112482853223593,0.04954954954954955,0.25956166738289643
