,AUC,PR_AUC,Threshold,Sensitivity,Specificity,Accuracy,F1,Youden
GLM_BEST,0.8661366566394499,0.35751726509357606,0.882020202020202,0.38461538461538464,0.9874301675977654,0.9766803840877915,0.37037037037037035,0.37204555221315005
GLM_RECALL,0.8661366566394499,0.35751726509357606,0.3,0.9230769230769231,0.5181564245810056,0.5253772290809328,0.06486486486486487,0.44123334765792865
SVM_RECALL,0.8769875376020627,0.3400750145168339,0.3,0.9230769230769231,0.61731843575419,0.6227709190672154,0.0802675585284281,0.540395358831113
SVM_BEST,0.8769875376020627,0.3400750145168339,0.9,0.23076923076923078,0.9986033519553073,0.9849108367626886,0.35294117647058826,0.2293725827245381
NNET_RECALL,0.8580790717662226,0.33440387218223977,0.3,0.9230769230769231,0.5139664804469274,0.5212620027434842,0.064343163538874,0.4370434035238504
NNET_BEST,0.8580790717662226,0.33440387218223977,0.7831313131313132,0.5384615384615384,0.9692737430167597,0.9615912208504801,0.3333333333333333,0.5077352814782983
XGB_BEST,0.7737430167597765,0.2966119787336256,0.7202020202020203,0.38461538461538464,0.9930167597765364,0.9821673525377229,0.43478260869565216,0.37763214439192105
XGB_RECALL,0.7737430167597765,0.2966119787336256,0.3,0.8461538461538461,0.4134078212290503,0.42112482853223593,0.04954954954954955,0.25956166738289643
RF_BEST,0.859368285345939,0.20381019898561403,0.8550505050505052,0.23076923076923078,0.9902234636871509,0.9766803840877915,0.2608695652173913,0.2209926944563816
RF_RECALL,0.859368285345939,0.20381019898561403,0.3,0.8461538461538461,0.75,0.7517146776406035,0.10837438423645321,0.5961538461538463
