,AUC,PR_AUC,Threshold,Sensitivity,Specificity,Accuracy,F1,Youden
RF_RECALL,0.8854211431027073,0.3661156519013268,0.3,0.9230769230769231,0.5949720670391061,0.6008230452674898,0.0761904761904762,0.5180489901160292
RF_BEST,0.8854211431027073,0.3661156519013268,0.6932323232323233,0.46153846153846156,0.9874301675977654,0.9780521262002744,0.42857142857142855,0.4489686291362269
XGB_BEST,0.8737107864202837,0.35889625616481596,0.7471717171717173,0.46153846153846156,0.9930167597765364,0.9835390946502057,0.5,0.4545552213149979
XGB_RECALL,0.8737107864202837,0.35889625616481596,0.3,0.9230769230769231,0.547486033519553,0.5541838134430727,0.06876790830945559,0.4705629565964762
NNET_RECALL,0.8724752900730555,0.3518146881266718,0.3,0.5384615384615384,0.9329608938547486,0.9259259259259259,0.20588235294117646,0.471422432316287
NNET_BEST,0.8724752900730555,0.3518146881266718,0.4594949494949495,0.3076923076923077,0.9972067039106145,0.9849108367626886,0.42105263157894735,0.3048990116029222
GLM_RECALL,0.8770949720670391,0.33890944009483903,0.3,1.0,0.4441340782122905,0.4540466392318244,0.06132075471698113,0.44413407821229045
GLM_BEST,0.8770949720670391,0.33890944009483903,0.9,0.23076923076923078,0.9958100558659218,0.9821673525377229,0.3157894736842105,0.2265792866351526
SVM_RECALL,0.8764503652771809,0.3346677388500222,0.3,0.6153846153846154,0.861731843575419,0.8573388203017832,0.13333333333333333,0.4771164589600345
SVM_BEST,0.8764503652771809,0.3346677388500222,0.6033333333333334,0.23076923076923078,1.0,0.9862825788751715,0.375,0.23076923076923084
