feature,coefficient,abs_coefficient
Tracheostomy,-0.33700002844859384,0.33700002844859384
AlcoholHistory,0.32721192918419634,0.32721192918419634
OperationDurationMin,0.3218960342514539,0.3218960342514539
NeckDissection,0.29945860598993496,0.29945860598993496
PreopConcurrentCRT,0.2028387529864999,0.2028387529864999
Diabetes,0.17014199328402393,0.17014199328402393
PreopHGB,-0.16444418995653245,0.16444418995653245
SmokingHistory,-0.1598622882531165,0.1598622882531165
IntraopTransfusion,0.1351124283191329,0.1351124283191329
PreopChemotherapy,0.08767393608706454,0.08767393608706454
Age,0.0403474532620434,0.0403474532620434
PreopALB,-0.029907083833905973,0.029907083833905973
BMI,-0.014361938498784312,0.014361938498784312
PeripheralVascularDisease,0.010745232459294552,0.010745232459294552
ASA,0.0,0.0
CoronaryHeartDisease,0.0,0.0
Differentiation,0.0,0.0
Endoscopy,0.0,0.0
LengthOfStay,0.0,0.0
MultiplePrimary,0.0,0.0
PreopPALB,0.0,0.0
PreopRadiotherapy,0.0,0.0
PriorHeadNeckHistory,0.0,0.0
Sex,0.0,0.0
