feature,coefficient,abs_coefficient
AlcoholHistory,0.29875948043012945,0.29875948043012945
PreopHGB,-0.24865853247442857,0.24865853247442857
PreopConcurrentCRT,0.2226019974392305,0.2226019974392305
Hypertension,0.1592869690680656,0.1592869690680656
PreopALB,-0.14263371958575843,0.14263371958575843
BMI,-0.14172647614385553,0.14172647614385553
LesionSite,0.12468854105669641,0.12468854105669641
PeripheralVascularDisease,-0.09522751836806954,0.09522751836806954
Hyperlipidemia,-0.05576598975324658,0.05576598975324658
Diabetes,0.04173468810424929,0.04173468810424929
CoronaryHeartDisease,-0.03760722705774617,0.03760722705774617
PriorHeadNeckHistory,-0.0037031866169773392,0.0037031866169773392
Age,0.0033628058646022483,0.0033628058646022483
ASA,0.0,0.0
ImmuneDisease,0.0,0.0
LengthOfStay,0.0,0.0
PreopAntibiotic,0.0,0.0
PreopChemotherapy,0.0,0.0
PreopPALB,0.0,0.0
PreopRadiotherapy,0.0,0.0
Sex,0.0,0.0
SmokingHistory,0.0,0.0
SteroidUse,0.0,0.0
