,AlcoholHistory,PreopHGB,PreopConcurrentCRT,Hypertension,PreopALB,BMI,LesionSite,PeripheralVascularDisease,Hyperlipidemia,Diabetes,CoronaryHeartDisease,PriorHeadNeckHistory,Age
AlcoholHistory,1.0,0.09962070457970995,0.044865866513653443,0.09730844433536376,0.01966403240042036,-0.03392783120494056,-0.08097861460791395,-0.0037994649574522167,0.036862807540628546,0.07531565922827492,0.04733078259114772,0.0022280789521161143,0.1026531818645394
PreopHGB,0.09962070457970995,1.0,-0.0819114381838849,-0.000805037804451732,0.25081628733756145,0.19519577597035775,-0.09095406521261144,0.006232429646138632,0.004222191676915635,-0.014409778762335675,-0.009321632247473613,-0.015977811172069117,-0.03490073140759919
PreopConcurrentCRT,0.044865866513653443,-0.0819114381838849,1.0,-0.011761758881918364,-0.0324030739394348,-0.06299337017297822,0.04721952032358945,0.06676146809922157,0.024027283053465128,-0.013380361262600407,0.004212077156556484,0.0005075671203048072,-0.03336510660715317
Hypertension,0.09730844433536376,-0.000805037804451732,-0.011761758881918364,1.0,-0.06991540833520635,0.21942830083367892,0.009146328620000659,0.05752600093455424,0.08774110887375271,0.20854529570764083,0.08042270606587235,-0.036579555921042256,0.2587788736509359
PreopALB,0.01966403240042036,0.25081628733756145,-0.0324030739394348,-0.06991540833520635,1.0,0.09999787338956428,0.002581131336458075,-0.0486816883573928,0.0005874557624078297,-0.041084721329234936,-0.048616323911275454,0.004866618230293252,-0.2473821232892625
BMI,-0.03392783120494056,0.19519577597035775,-0.06299337017297822,0.21942830083367892,0.09999787338956428,1.0,0.018741310731938358,0.02007628689171501,0.019827770731619353,0.120653565601552,-0.0024597042826954825,-0.001154835524250578,0.0003073051495186317
LesionSite,-0.08097861460791395,-0.09095406521261144,0.04721952032358945,0.009146328620000659,0.002581131336458075,0.018741310731938358,1.0,0.011049788638613845,0.011084845842507672,0.032041830510123985,0.012449972467877974,0.017028620883336305,-0.07375655081186948
PeripheralVascularDisease,-0.0037994649574522167,0.006232429646138632,0.06676146809922157,0.05752600093455424,-0.0486816883573928,0.02007628689171501,0.011049788638613845,1.0,0.06313224192637135,0.025881639532839472,-0.0012581878573190827,-0.027315448726013943,0.07516840628275019
Hyperlipidemia,0.036862807540628546,0.004222191676915635,0.024027283053465128,0.08774110887375271,0.0005874557624078297,0.019827770731619353,0.011084845842507672,0.06313224192637135,1.0,0.1175927450444295,0.08988233234033041,0.020745932351967623,0.07789969737517503
Diabetes,0.07531565922827492,-0.014409778762335675,-0.013380361262600407,0.20854529570764083,-0.041084721329234936,0.120653565601552,0.032041830510123985,0.025881639532839472,0.1175927450444295,1.0,0.15319562796253614,0.017781590839971103,0.11732256065704055
CoronaryHeartDisease,0.04733078259114772,-0.009321632247473613,0.004212077156556484,0.08042270606587235,-0.048616323911275454,-0.0024597042826954825,0.012449972467877974,-0.0012581878573190827,0.08988233234033041,0.15319562796253614,1.0,0.0815050735883259,0.10344939987805088
PriorHeadNeckHistory,0.0022280789521161143,-0.015977811172069117,0.0005075671203048072,-0.036579555921042256,0.004866618230293252,-0.001154835524250578,0.017028620883336305,-0.027315448726013943,0.020745932351967623,0.017781590839971103,0.0815050735883259,1.0,0.03576220973160142
Age,0.1026531818645394,-0.03490073140759919,-0.03336510660715317,0.2587788736509359,-0.2473821232892625,0.0003073051495186317,-0.07375655081186948,0.07516840628275019,0.07789969737517503,0.11732256065704055,0.10344939987805088,0.03576220973160142,1.0
