feature,coefficient,odds_ratio,or_95ci_lower,or_95ci_upper,p_value,is_independent_predictor
PreopConcurrentCRT,1.0427149727328018,2.836908698031768,1.495671290007945,5.380895531481085,0.001410184569548296,True
PreopHGB,-0.32820041090673713,0.7202186655648976,0.5385086042287162,0.9632435250891042,0.026938421050851487,True
AlcoholHistory,0.8233680983925853,2.2781599972298876,1.057958613969169,4.905686200244624,0.0353844456625045,True
BMI,-0.2858378407753283,0.7513844499882026,0.49807037662328735,1.1335317621410952,0.17303669141745293,False
PreopALB,-0.19524090102194103,0.8226364602199934,0.6139583599719801,1.1022420896983394,0.1909185406157865,False
Hypertension,0.5397726394802864,1.7156167543220837,0.7613778718064288,3.865808236227478,0.19283537209773127,False
LesionSite,0.018969905588006583,1.0191509774064966,0.9901128906839398,1.0490406947748523,0.19835932410379098,False
Diabetes,0.39783170996716843,1.4885934933785951,0.5228022101658897,4.238525670780851,0.45616778804438873,False
CoronaryHeartDisease,-0.7270008967170883,0.48335645438695957,0.06017190675155789,3.882766470442354,0.49405148428264767,False
PriorHeadNeckHistory,-0.2227805188957499,0.8002904786581625,0.3570440764478532,1.7937977198858577,0.5885141619657221,False
Age,0.10530236532142384,1.1110465015047728,0.7184868678355465,1.7180889223831173,0.6358804626063239,False
Hyperlipidemia,-22.881333648934778,1.1554816626763962e-10,0.0,inf,0.9998459670211254,False
PeripheralVascularDisease,-25.484511480819982,8.554946341192799e-12,0.0,inf,0.999938070452515,False
